RAJ2000,DEJ2000,_2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,Rflg,Bflg,Cflg,Xflg,Aflg
173.122563,49.038551,11322941+4902187,13.539,0.027,13.053,0.037,12.878,0.032,AAA,222,111,000,0,0
173.082397,49.016041,11321977+4900577,16.311,0.083,15.783,0.133,15.488,,ABU,220,110,000,0,0
173.039016,49.01038,11320936+4900373,14.239,0.1,13.743,0.136,13.468,0.099,ABA,222,111,000,1,0
173.089666,49.040504,11322151+4902258,14.221,0.035,13.859,0.036,13.898,0.045,AAA,222,111,000,0,0
173.144363,49.045155,11323464+4902425,16.595,0.138,15.811,0.159,15.425,0.184,BCC,222,111,000,0,0
173.152243,49.042465,11323653+4902328,14.254,0.032,13.663,0.037,13.478,0.041,AAA,222,111,000,0,0
173.045536,49.045059,11321092+4902422,16.994,0.15,16.015,,16.336,,CUU,200,100,000,0,0
173.114268,49.074986,11322742+4904299,15.816,0.071,15.234,0.086,14.889,0.11,AAB,222,111,000,0,0
173.111305,49.06559,11322671+4903561,16.586,0.147,16.069,0.22,15.171,0.151,BDB,222,112,00c,0,0
173.102852,49.072605,11322468+4904213,14.695,0.04,14.431,0.053,14.426,0.073,AAA,222,111,000,0,0
173.118978,49.118832,11322855+4907077,16.449,0.126,15.695,0.149,16.114,0.336,BBD,222,111,000,0,0
173.043378,49.102322,11321041+4906083,16.962,0.173,16.032,0.194,14.737,,CCU,220,110,000,0,0
173.113171,49.125134,11322716+4907304,15.705,0.067,15.044,0.076,14.993,0.117,AAB,222,111,000,0,0
173.022687,49.119282,11320544+4907094,16.37,0.095,15.651,0.129,15.006,0.108,ABA,222,111,000,0,0
173.089109,49.144939,11322138+4908417,15.887,0.096,15.275,0.133,14.852,0.113,ABB,222,111,000,0,0
172.249278,48.765671,11285982+4845564,15.901,0.063,15.428,0.099,15.616,0.165,AAC,222,111,000,0,0
172.225555,48.773716,11285413+4846253,8.201,0.043,7.576,0.031,7.403,0.021,AAA,111,111,000,0,0
172.220016,48.830776,11285280+4849507,17.357,0.222,16.308,0.232,15.469,0.163,DDC,222,111,000,0,0
172.175824,48.839317,11284219+4850215,15.937,0.085,15.341,0.115,15.346,0.164,ABC,222,111,000,0,0
172.238436,48.857296,11285722+4851262,15.46,0.04,15.179,0.071,15.044,0.114,AAB,222,111,000,0,0
172.208916,48.860332,11285013+4851371,16.871,0.141,16.844,,17.287,,BUU,200,100,000,0,0
